departure location: 49-848 or 871-949
departure station: 33-670 or 687-969
departure platform: 41-909 or 916-974
departure track: 40-397 or 422-972
departure date: 31-481 or 505-960
departure time: 37-299 or 312-965
arrival location: 46-114 or 126-967
arrival station: 28-453 or 478-963
arrival platform: 26-756 or 781-973
arrival track: 30-231 or 252-968
class: 26-820 or 828-967
duration: 31-901 or 910-958
price: 47-711 or 722-952
route: 48-518 or 524-956
row: 50-166 or 172-974
seat: 26-792 or 810-963
train: 28-617 or 637-952
type: 30-734 or 748-962
wagon: 41-429 or 454-968
zone: 25-129 or 142-971

your ticket:
163,73,67,113,79,101,109,149,53,61,97,89,103,59,71,83,151,127,157,107

nearby tickets:
874,898,379,394,534,81,578,605,532,782,270,220,818,699,723,685,943,579,289,790
67,294,214,393,541,555,308,606,947,692,293,847,688,77,325,659,874,942,285,698
930,529,554,730,587,224,878,59,820,690,783,258,160,643,155,560,593,79,160,12
152,195,561,354,225,879,915,367,891,76,328,79,580,156,547,917,846,90,883,604
598,788,279,692,284,844,938,585,207,728,318,589,110,596,299,314,594,104,112,135
941,510,371,97,920,367,546,564,602,669,704,427,716,828,552,588,217,427,567,558
734,329,339,638,196,221,474,50,510,273,604,129,703,193,839,639,281,612,588,841
568,270,107,470,570,426,839,591,927,77,820,579,210,273,165,529,295,166,577,181
791,829,512,592,337,524,162,729,127,926,98,363,332,694,390,381,271,310,733,607
753,688,756,366,112,129,192,316,327,161,664,610,22,516,756,525,935,615,316,514
145,89,294,391,533,925,95,62,886,231,658,426,688,209,716,649,202,934,887,56
154,637,174,913,932,606,426,261,573,646,614,730,932,603,508,872,553,271,553,364
314,535,934,751,660,228,258,699,181,284,383,58,896,530,581,563,924,734,977,100
284,943,565,932,546,60,710,642,10,252,78,268,75,877,599,928,73,105,641,98
100,155,611,364,290,291,941,260,584,575,209,385,608,705,697,751,553,445,429,293
160,943,181,839,223,728,543,755,690,91,647,575,642,357,918,316,65,719,749,52
147,327,319,375,617,875,278,553,59,157,314,92,642,199,725,890,917,868,577,552
54,222,784,359,152,273,700,537,812,430,931,374,656,85,180,871,371,314,342,162
563,8,731,103,196,312,284,701,517,935,192,81,194,209,668,846,554,608,931,533
193,334,829,52,330,912,724,790,90,344,526,552,94,333,371,560,543,816,173,337
346,733,845,281,704,66,658,555,614,280,985,583,873,885,732,326,896,875,596,91
652,213,104,694,79,821,692,820,481,871,572,545,314,924,884,360,186,266,207,280
944,83,847,355,923,549,333,834,599,80,884,288,266,882,794,194,212,107,690,216
327,113,898,565,267,707,586,940,267,288,72,331,813,256,939,337,577,380,504,922
313,617,371,824,785,548,163,80,815,254,587,882,565,731,594,73,884,650,329,702
781,569,887,80,101,874,277,754,95,344,934,751,561,228,448,252,99,387,258,929
813,506,576,316,753,931,617,107,274,390,837,977,788,709,216,895,883,56,845,848
